,Postcode,Borough,Neighbourhood
0,M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
1,M8V,Etobicoke,New Toronto
2,M1T,Scarborough,Tam O'Shanter
3,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
4,M5E,Downtown Toronto,Berczy Park
5,M2M,North York,"Newtonbrook, Willowdale"
6,M3K,North York,CFB Toronto
7,M4W,Downtown Toronto,Rosedale
8,M2K,North York,Bayview Village
9,M3J,North York,"Northwood Park, York University"
10,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
11,M4L,East Toronto,India Bazaar
12,M1M,Scarborough,"Cliffcrest, Cliffside"
13,M2R,North York,Willowdale West
14,M4T,Central Toronto,Moore Park
15,M4Y,Downtown Toronto,Church and Wellesley
16,M4H,East York,Thorncliffe Park
17,M4A,North York,Victoria Village
18,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
19,M5R,Central Toronto,"The Annex, Yorkville"
20,M1V,Scarborough,"Agincourt North, Milliken"
21,M6S,West Toronto,"Runnymede, Swansea"
22,M6R,West Toronto,"Parkdale, Roncesvalles"
23,M4K,East Toronto,Riverdale
24,M4N,Central Toronto,Lawrence Park
25,M3H,North York,"Bathurst Manor, Wilson Heights"
26,M2J,North York,Henry Farm
27,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
28,M1B,Scarborough,"Rouge, Malvern"
29,M1E,Scarborough,"Morningside, West Hill"
30,M1N,Scarborough,Birch Cliff
31,M3L,North York,Downsview West
32,M4G,East York,Leaside
33,M1J,Scarborough,Scarborough Village
34,M6M,York,"Keelesdale, Mount Dennis, Silverthorn"
35,M5A,Downtown Toronto,"Harbourfront, Regent Park"
36,M1S,Scarborough,Agincourt
37,M9M,North York,"Emery, Humberlea"
38,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
39,M6A,North York,"Lawrence Heights, Lawrence Manor"
40,M6J,West Toronto,"Little Portugal, Trinity"
41,M5C,Downtown Toronto,St. James Town
42,M9C,Etobicoke,Markland Wood
43,M2L,North York,York Mills
44,M8Y,Etobicoke,"Humber Bay, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
45,M5M,North York,Bedford Park
46,M9N,York,Weston
47,M8W,Etobicoke,"Alderwood, Long Branch"
48,M5P,Central Toronto,Forest Hill North
49,M1G,Scarborough,Woburn
50,M2H,North York,Hillcrest Village
51,M1X,Scarborough,Upper Rouge
52,M6L,North York,Downsview
53,M9L,North York,Humber Summit
54,M6P,West Toronto,High Park
55,M5L,Downtown Toronto,Commerce Court
56,M3A,North York,Parkwoods
57,M4C,East York,Woodbine Heights
58,M1K,Scarborough,"Ionview, Kennedy Park"
59,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
60,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
61,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
62,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
63,M5X,Downtown Toronto,"First Canadian Place, Underground city"
64,M5S,Downtown Toronto,University of Toronto
65,M6H,West Toronto,Dovercourt Village
66,M6K,West Toronto,"Exhibition Place, Parkdale Village"
67,M4B,East York,"Woodbine Gardens, Parkview Hill"
68,M1R,Scarborough,"Maryvale, Wexford"
69,M8Z,Etobicoke,"Mimico NW, The Queensway West"
70,M9R,Etobicoke,Kingsview Village
71,M4E,East Toronto,The Beaches
72,M3C,North York,Flemingdon Park
73,M4J,East York,East Toronto
74,M9A,Etobicoke,Islington Avenue
75,M5J,Downtown Toronto,"Toronto Islands, Union Station"
76,M8X,Etobicoke,The Kingsway
